Image Name                     PID Session Name        Session#    Mem Usage
claude.exe                   36164 Console                    1      7,808 K
claude.exe                   29420 Console                    1      1,112 K
claude.exe                   31864 Console                    1      1,600 K
claude.exe                   36152 Console                    1     52,844 K
Perplexity.exe                9348 Console                    1      1,248 K
ShellExperienceHost.exe      37196 Console                    1         20 K
RuntimeBroker.exe             3900 Console                    1      1,352 K
backgroundTaskHost.exe        6832 Console                    1      6,908 K
RuntimeBroker.exe             4248 Console                    1      2,512 K
claude.exe                   34848 Console                    1      1,824 K
taskhostw.exe                36232 Console                    1      3,316 K
winpty-agent.exe             17224 Console                    1        512 K
conhost.exe                  18692 Console                    1        660 K
powershell.exe               37664 Console                    1        784 K
winpty-agent.exe              5940 Console                    1        560 K
conhost.exe                  30208 Console                    1        672 K
powershell.exe               27384 Console                    1        784 K
winpty-agent.exe             33932 Console                    1        528 K
conhost.exe                  16212 Console                    1        660 K
powershell.exe                4416 Console                    1        784 K
Antigravity.exe              36124 Console                    1      7,668 K
Antigravity.exe               4516 Console                    1      6,860 K
conhost.exe                  30512 Console                    1        276 K
powershell.exe               34960 Console                    1        796 K
conhost.exe                  36792 Console                    1        284 K
powershell.exe               32140 Console                    1        796 K
conhost.exe                  16348 Console                    1        396 K
powershell.exe               36484 Console                    1      3,484 K
conhost.exe                   2556 Console                    1        396 K
powershell.exe               34220 Console                    1      3,500 K
winpty-agent.exe             32360 Console                    1        508 K
conhost.exe                  29592 Console                    1        652 K
powershell.exe               31892 Console                    1        784 K
winpty-agent.exe              8756 Console                    1        524 K
conhost.exe                  26948 Console                    1        640 K
powershell.exe               37520 Console                    1        772 K
winpty-agent.exe              4268 Console                    1        512 K
conhost.exe                  15748 Console                    1        640 K
powershell.exe               28644 Console                    1        788 K
conhost.exe                  12040 Console                    1        280 K
powershell.exe               18492 Console                    1        800 K
conhost.exe                  15572 Console                    1        284 K
powershell.exe               30912 Console                    1        804 K
backgroundTaskHost.exe        8212 Console                    1         16 K
conhost.exe                  37760 Console                    1        280 K
powershell.exe               30804 Console                    1        808 K
conhost.exe                  29364 Console                    1        284 K
powershell.exe               35456 Console                    1        180 K
conhost.exe                  12504 Console                    1        280 K
powershell.exe               20220 Console                    1        788 K
svchost.exe                  27072 Services                   0      3,120 K
conhost.exe                  32660 Console                    1        280 K
powershell.exe               15220 Console                    1        780 K
conhost.exe                  25980 Console                    1        280 K
powershell.exe               37656 Console                    1        924 K
conhost.exe                  30108 Console                    1        280 K
powershell.exe               32600 Console                    1      1,064 K
conhost.exe                  23212 Console                    1        276 K
powershell.exe               32212 Console                    1        780 K
ChatGPT.exe                  29820 Console                    1     25,668 K
ChatGPT.exe                   6728 Console                    1        668 K
ChatGPT.exe                  34564 Console                    1     12,740 K
ChatGPT.exe                  35212 Console                    1     12,632 K
chrome.exe                   30348 Console                    1     79,160 K
chrome.exe                   29708 Console                    1        580 K
chrome.exe                   28112 Console                    1     14,000 K
chrome.exe                   35688 Console                    1     19,580 K
chrome.exe                   18556 Console                    1      2,668 K
chrome.exe                   34328 Console                    1      3,680 K
chrome.exe                   26160 Console                    1      3,744 K
chrome.exe                   34496 Console                    1     21,316 K
chrome.exe                   30044 Console                    1      2,676 K
chrome.exe                   38312 Console                    1      2,576 K
chrome.exe                   11900 Console                    1      6,320 K
chrome.exe                   38604 Console                    1     10,492 K
chrome.exe                   22472 Console                    1      2,356 K
GitHubDesktop.exe            38376 Console                    1     19,044 K
GitHubDesktop.exe            15012 Console                    1      7,556 K
GitHubDesktop.exe            18468 Console                    1      9,536 K
GitHubDesktop.exe             8272 Console                    1     12,884 K
Code.exe                     15188 Console                    1     70,712 K
Code.exe                     40572 Console                    1      1,192 K
Code.exe                     35364 Console                    1    281,188 K
Code.exe                     30320 Console                    1     13,332 K
Code.exe                     42412 Console                    1  1,683,836 K
Code.exe                     32496 Console                    1     41,072 K
Code.exe                     27308 Console                    1     10,756 K
Code.exe                     19496 Console                    1    578,260 K
